Ref,Qty,Value,Footprint,Datasheet,manf,part-num,
Q501 Q601 Q701 ,3,DMG1012UW-7,TO_SOT_Packages_SMD:SOT-323_SC-70,https://www.digikey.ch/product-detail/de/diodes-incorporated/DMG1012UW-7/DMG1012UW-7DICT-ND/2183242,Diodes Incorporated,DMG1012UW-7,
R110 R113 R260 ,3,240,Resistors_SMD:R_0603,https://www.digikey.ch/product-detail/de/panasonic-electronic-components/ERJ-3GEYJ241V/P240GCT-ND/134760,Panasonic Electronic Components,ERJ-3GEYJ241V,
R111 R114 R261 ,3,62,Resistors_SMD:R_0603,https://www.digikey.ch/product-detail/de/panasonic-electronic-components/ERJ-3GEYJ620V/P62GCT-ND/134695,Panasonic Electronic Components,ERJ-3GEYJ620V,
R112 R115 R262 ,3,62,Resistors_SMD:R_0603,https://www.digikey.ch/product-detail/de/panasonic-electronic-components/ERJ-3GEYJ241V/P240GCT-ND/134760,Panasonic Electronic Components,ERJ-3GEYJ620V,
R200 R201 R202 R203 ,4,49.9 1%,Resistors_SMD:R_0805,~,Panasonic Electronic Componens,ERJ-6ENF49R9V,
R204 R205 ,2,75,Resistors_SMD:R_0805,~,Panasonic Electronic Componens,ERJ-6ENF75R0V,
R206 R212 R251 R252 R253 R800 ,6,0R,Resistors_SMD:R_0805,~,Panasonic Electronic Componens,ERJ-6GEY0R00V,
R213 R214 ,2,12k 1%,Resistors_SMD:R_0805,~,Panasonic Electronic Componens,ERJ-6ENF1202V,
R215 R303 ,2,open,Resistors_SMD:R_0805,~,DNP,DNP,
R230 R305 R334 ,3,10k,Resistors_SMD:R_0805,~,Panasonic Electronic Componens,ERJ-6ENF1002V,
R304 ,1,0.05 1%,Resistors_SMD:R_1206,https://www.digikey.ch/product-detail/de/stackpole-electronics-inc/CSNL1206FT50L0/CSNL1206FT50L0CT-ND/5226376,Stackpole Electronics Inc.,CSNL1206FT50L0,
R320 R322 ,2,220k,Resistors_SMD:R_0805,~,Panasonic Electronic Componens,ERJ-6ENF2203V,
R321 ,1,100,Resistors_SMD:R_0805,~,Panasonic Electronic Componens,ERJ-6ENF1000V,
R330 ,1,6k8,Resistors_SMD:R_0805,~,Panasonic Electronic Componens,ERJ-6ENF6801V,
R331 R822 R825 R828 R831 R834 ,6,1k,Resistors_SMD:R_0805,~,Panasonic Electronic Componens,ERJ-6ENF1001V,
R332 R501 R601 R701 ,4,100k,Resistors_SMD:R_0805,https://www.digikey.ch/product-detail/de/panasonic-electronic-components/ERA-6AEB104V/P100KDACT-ND/1465995,Panasonic Electronic Componens,ERJ-6ENF1003V,
R333 ,1,33k,Resistors_SMD:R_0805,~,Panasonic Electronic Componens,ERJ-6ENF3302V,
R401 R402 R403 ,3,200,Resistors_SMD:R_0805,~,	Panasonic Electronic Components,ERJ-6ENF2000V,
R801 R802 R805 R806 R809 R810 R813 R814 R817 R818 R821 R823 R824 R826 R827 R829 R830 R832 R833 R835 ,20,560k,Resistors_SMD:R_0805,~,Yageo,RC0805JR-07560KL,
R804 R808 R812 R816 R820 ,5,43k,Resistors_SMD:R_0805,~,Yageo,RC0805FR-0743KL,
T200 ,1,749013011A,EigeneFootprints:WE-LAN_PoE_749013011A,http://katalog.we-online.de/pbs/datasheet/749013011A.pdf,Wurth Electrionik,749013011A,
T300 ,1,WE_750310013,EigeneFootprints:WE_EP13,http://katalog.we-online.de/pbs/datasheet/750310013.pdf,Wurth Electrionik,750310013,
